date,group,value
2015-06-01,codecademy.com,12811074
2015-06-01,geeksforgeeks.org,1669569
2015-06-01,r-bloggers.com,1195911
2015-06-01,stackoverflow.com,125692068
2015-06-01,w3schools.com,244445760
2015-07-01,codecademy.com,39172829
2015-07-01,geeksforgeeks.org,1834404
2015-07-01,r-bloggers.com,1245186
2015-07-01,stackoverflow.com,136316251
2015-07-01,w3schools.com,238798082
2015-08-01,codecademy.com,38217615
2015-08-01,geeksforgeeks.org,1927301
2015-08-01,r-bloggers.com,1245491
2015-08-01,stackoverflow.com,137168899
2015-08-01,w3schools.com,239675751
2015-09-01,codecademy.com,37558525
2015-09-01,geeksforgeeks.org,1814128
2015-09-01,r-bloggers.com,1226953
2015-09-01,stackoverflow.com,130783569
2015-09-01,w3schools.com,230269048
2015-10-01,codecademy.com,38312255
2015-10-01,geeksforgeeks.org,2420789
2015-10-01,r-bloggers.com,1306341
2015-10-01,stackoverflow.com,140707461
2015-10-01,w3schools.com,259584633
2015-11-01,codecademy.com,34786392
2015-11-01,geeksforgeeks.org,1928821
2015-11-01,r-bloggers.com,1417808
2015-11-01,stackoverflow.com,133246447
2015-11-01,w3schools.com,234874440
2015-12-01,codecademy.com,38914881
2015-12-01,geeksforgeeks.org,1984847
2015-12-01,r-bloggers.com,1523897
2015-12-01,stackoverflow.com,156891175
2015-12-01,w3schools.com,237024814
2016-01-01,codecademy.com,48220801
2016-01-01,geeksforgeeks.org,1526396
2016-01-01,r-bloggers.com,1582140
2016-01-01,stackoverflow.com,169357002
2016-01-01,w3schools.com,267457275
2016-02-01,codecademy.com,42676614
2016-02-01,geeksforgeeks.org,1956791
2016-02-01,r-bloggers.com,1691166
2016-02-01,stackoverflow.com,166197569
2016-02-01,w3schools.com,275179590
2016-03-01,codecademy.com,50692403
2016-03-01,geeksforgeeks.org,5392228
2016-03-01,r-bloggers.com,2253194
2016-03-01,stackoverflow.com,203130859
2016-03-01,w3schools.com,465202797
2016-04-01,codecademy.com,46682489
2016-04-01,geeksforgeeks.org,5562020
2016-04-01,r-bloggers.com,3014483
2016-04-01,stackoverflow.com,199894230
2016-04-01,w3schools.com,461271541
2016-05-01,codecademy.com,48123075
2016-05-01,geeksforgeeks.org,5146988
2016-05-01,r-bloggers.com,3004840
2016-05-01,stackoverflow.com,173340689
2016-05-01,w3schools.com,453473879
2016-06-01,codecademy.com,46490757
2016-06-01,geeksforgeeks.org,4723683
2016-06-01,r-bloggers.com,2286957
2016-06-01,stackoverflow.com,142605135
2016-06-01,w3schools.com,407507805
2016-07-01,codecademy.com,51357077
2016-07-01,geeksforgeeks.org,6679862
2016-07-01,r-bloggers.com,2325274
2016-07-01,stackoverflow.com,155893808
2016-07-01,w3schools.com,458078381
2016-08-01,codecademy.com,49025068
2016-08-01,geeksforgeeks.org,9294184
2016-08-01,r-bloggers.com,2277423
2016-08-01,stackoverflow.com,145474769
2016-08-01,w3schools.com,466579783
2016-09-01,codecademy.com,55695793
2016-09-01,geeksforgeeks.org,9593270
2016-09-01,r-bloggers.com,4209869
2016-09-01,stackoverflow.com,201690530
2016-09-01,w3schools.com,498237408
2016-10-01,codecademy.com,53347530
2016-10-01,geeksforgeeks.org,9393450
2016-10-01,r-bloggers.com,4342714
2016-10-01,stackoverflow.com,225397447
2016-10-01,w3schools.com,531553387
2016-11-01,codecademy.com,63499434
2016-11-01,geeksforgeeks.org,13253743
2016-11-01,r-bloggers.com,5071044
2016-11-01,stackoverflow.com,318432757
2016-11-01,w3schools.com,633828668
2016-12-01,codecademy.com,83699723
2016-12-01,geeksforgeeks.org,22751334
2016-12-01,r-bloggers.com,5244090
2016-12-01,stackoverflow.com,384893888
2016-12-01,w3schools.com,871800102
2017-01-01,codecademy.com,104685724
2017-01-01,geeksforgeeks.org,25213997
2017-01-01,r-bloggers.com,6308371
2017-01-01,stackoverflow.com,471079858
2017-01-01,w3schools.com,1037282717
2017-02-01,codecademy.com,79138527
2017-02-01,geeksforgeeks.org,25124350
2017-02-01,r-bloggers.com,5814116
2017-02-01,stackoverflow.com,477550052
2017-02-01,w3schools.com,848317339
2017-03-01,codecademy.com,79382787
2017-03-01,geeksforgeeks.org,30140537
2017-03-01,r-bloggers.com,5799709
2017-03-01,stackoverflow.com,555118290
2017-03-01,w3schools.com,935779116
2017-04-01,codecademy.com,86556153
2017-04-01,geeksforgeeks.org,33949145
2017-04-01,r-bloggers.com,6452049
2017-04-01,stackoverflow.com,602267723
2017-04-01,w3schools.com,921822199
2017-05-01,codecademy.com,96944601
2017-05-01,geeksforgeeks.org,41653700
2017-05-01,r-bloggers.com,5389883
2017-05-01,stackoverflow.com,607127250
2017-05-01,w3schools.com,915978352
2017-06-01,codecademy.com,94298491
2017-06-01,geeksforgeeks.org,46667106
2017-06-01,r-bloggers.com,4594364
2017-06-01,stackoverflow.com,583318748
2017-06-01,w3schools.com,874243917
2017-07-01,codecademy.com,98437611
2017-07-01,geeksforgeeks.org,61868302
2017-07-01,r-bloggers.com,4379327
2017-07-01,stackoverflow.com,631504741
2017-07-01,w3schools.com,894759499
2017-08-01,codecademy.com,92776290
2017-08-01,geeksforgeeks.org,73444391
2017-08-01,r-bloggers.com,3848061
2017-08-01,stackoverflow.com,620367958
2017-08-01,w3schools.com,851135832
2017-09-01,codecademy.com,84006144
2017-09-01,geeksforgeeks.org,91691658
2017-09-01,r-bloggers.com,4860730
2017-09-01,stackoverflow.com,639261089
2017-09-01,w3schools.com,826553189
2017-10-01,codecademy.com,83787509
2017-10-01,geeksforgeeks.org,101874326
2017-10-01,r-bloggers.com,6074147
2017-10-01,stackoverflow.com,689965630
2017-10-01,w3schools.com,917095644
2017-11-01,codecademy.com,76807047
2017-11-01,geeksforgeeks.org,113116102
2017-11-01,r-bloggers.com,6371415
2017-11-01,stackoverflow.com,678988291
2017-11-01,w3schools.com,915964821
2017-12-01,codecademy.com,75838968
2017-12-01,geeksforgeeks.org,105981350
2017-12-01,r-bloggers.com,5143277
2017-12-01,stackoverflow.com,590300736
2017-12-01,w3schools.com,854345366
2018-01-01,codecademy.com,92596721
2018-01-01,geeksforgeeks.org,107028770
2018-01-01,r-bloggers.com,4678840
2018-01-01,stackoverflow.com,524912095
2018-01-01,w3schools.com,898923479
2018-02-01,codecademy.com,76850906
2018-02-01,geeksforgeeks.org,113456979
2018-02-01,r-bloggers.com,5405114
2018-02-01,stackoverflow.com,500116406
2018-02-01,w3schools.com,870016179
2018-03-01,codecademy.com,75501534
2018-03-01,geeksforgeeks.org,138258608
2018-03-01,r-bloggers.com,6170120
2018-03-01,stackoverflow.com,595689697
2018-03-01,w3schools.com,1066411493
2018-04-01,codecademy.com,67434900
2018-04-01,geeksforgeeks.org,160688972
2018-04-01,r-bloggers.com,6896084
2018-04-01,stackoverflow.com,618507609
2018-04-01,w3schools.com,1069105196
2018-05-01,codecademy.com,70107818
2018-05-01,geeksforgeeks.org,168534298
2018-05-01,r-bloggers.com,6503493
2018-05-01,stackoverflow.com,560616272
2018-05-01,w3schools.com,1082583282
2018-06-01,codecademy.com,66384448
2018-06-01,geeksforgeeks.org,152530419
2018-06-01,r-bloggers.com,5335282
2018-06-01,stackoverflow.com,490947381
