date,codecademy.com,geeksforgeeks.org,r-bloggers.com,stackoverflow.com,w3schools.com
2015-06-01,12811074,1669569,1195911,125692068,244445760
2015-07-01,39172829,1834404,1245186,136316251,238798082
2015-08-01,38217615,1927301,1245491,137168899,239675751
2015-09-01,37558525,1814128,1226953,130783569,230269048
2015-10-01,38312255,2420789,1306341,140707461,259584633
2015-11-01,34786392,1928821,1417808,133246447,234874440
2015-12-01,38914881,1984847,1523897,156891175,237024814
2016-01-01,48220801,1526396,1582140,169357002,267457275
2016-02-01,42676614,1956791,1691166,166197569,275179590
2016-03-01,50692403,5392228,2253194,203130859,465202797
2016-04-01,46682489,5562020,3014483,199894230,461271541
2016-05-01,48123075,5146988,3004840,173340689,453473879
2016-06-01,46490757,4723683,2286957,142605135,407507805
2016-07-01,51357077,6679862,2325274,155893808,458078381
2016-08-01,49025068,9294184,2277423,145474769,466579783
2016-09-01,55695793,9593270,4209869,201690530,498237408
2016-10-01,53347530,9393450,4342714,225397447,531553387
2016-11-01,63499434,13253743,5071044,318432757,633828668
2016-12-01,83699723,22751334,5244090,384893888,871800102
2017-01-01,104685724,25213997,6308371,471079858,1037282717
2017-02-01,79138527,25124350,5814116,477550052,848317339
2017-03-01,79382787,30140537,5799709,555118290,935779116
2017-04-01,86556153,33949145,6452049,602267723,921822199
2017-05-01,96944601,41653700,5389883,607127250,915978352
2017-06-01,94298491,46667106,4594364,583318748,874243917
2017-07-01,98437611,61868302,4379327,631504741,894759499
2017-08-01,92776290,73444391,3848061,620367958,851135832
2017-09-01,84006144,91691658,4860730,639261089,826553189
2017-10-01,83787509,101874326,6074147,689965630,917095644
2017-11-01,76807047,113116102,6371415,678988291,915964821
2017-12-01,75838968,105981350,5143277,590300736,854345366
2018-01-01,92596721,107028770,4678840,524912095,898923479
2018-02-01,76850906,113456979,5405114,500116406,870016179
2018-03-01,75501534,138258608,6170120,595689697,1066411493
2018-04-01,67434900,160688972,6896084,618507609,1069105196
2018-05-01,70107818,168534298,6503493,560616272,1082583282
2018-06-01,66384448,152530419,5335282,490947381,981372685
2018-07-01,68454371,162093177,5204493,495432983,993709382
2018-08-01,66086677,177904954,4910736,512066127,981206975
2018-09-01,64957967,204380886,5292314,519966624,945918410
2018-10-01,64714045,252714122,6663128,577802842,1051331015
2018-11-01,55834754,253076498,6036689,557397115,971390277
2018-12-01,54745026,247025422,4858644,529383407,923368999
2019-01-01,52219335,232879503,5079472,505532963,876927780
2019-02-01,41974660,231135792,5436285,489697645,823746483
2019-03-01,48157806,284895055,5220291,547419430,956902635
2019-04-01,43256555,315799144,3910177,494168196,879640973
2019-05-01,48001350,332942674,3184394,457198468,864732401
2019-06-01,45801112,314458621,3125642,416018433,806281197
2019-07-01,46655603,364653535,3718362,430640287,881099911
2019-08-01,43642267,385038518,3460243,401543360,838442821
2019-09-01,44113168,418631286,4313945,388051469,864122548
2019-10-01,40359533,421152991,4379064,396363336,891362875
2019-11-01,36692109,432291725,3965449,375555830,844228267
2019-12-01,35258300,392970367,3402239,352964216,780160443
2020-01-01,33961783,333360444,2762781,348891589,732533441
2020-02-01,29778980,315487176,2603464,306852131,743198755
2020-03-01,37985160,295294156,2438648,304747298,764939008
2020-04-01,38851090,275649641,2545909,283237699,748927808
2020-05-01,38295842,261283151,2012069,311891915,783668540
2020-06-01,35136559,230674801,1480494,313764182,745378543
2020-07-01,35403978,257334705,1495479,324059707,773492070
2020-08-01,33809272,269039089,1412306,314467256,757619114
2020-09-01,32733487,295914221,1405225,306449653,806706430
2020-10-01,32185666,315814646,1412520,330505227,897504584
2020-11-01,30109378,293129668,1358914,355718488,853221557
2020-12-01,31669755,305846946,1652783,345302237,859607058
2021-01-01,35798244,298460414,2002541,371041165,881558102
2021-02-01,30259081,284579143,2247874,341714194,819625211
2021-03-01,34829272,331022494,2535008,379894089,970157059
2021-04-01,31234896,295811487,1896936,353016326,881441804
2021-05-01,32552567,302580745,1839345,349108410,894499685
2021-06-01,30252605,323530372,1791707,349216444,834473450
2021-07-01,33021245,371602395,1956179,368777069,805585885
2021-08-01,34329947,375019980,1684023,360147697,778181464
2021-09-01,34628070,386998368,1848974,365601063,793962636
2021-10-01,36286644,394363463,2291880,404524380,803067191
2021-11-01,33248233,351570462,2239440,387928863,710152927
2021-12-01,36118802,438697083,2319858,400670989,803424653
2022-01-01,40857860,478351616,2319159,416423559,861671870
2022-02-01,33157063,456045776,2151954,381047088,795212216
2022-03-01,35759177,499360061,2683202,406689120,952249981
2022-04-01,30630416,448497229,2337869,373427479,865970197
2022-05-01,31683965,465770466,2289309,370352649,882588640
2022-06-01,32572249,444714456,1980889,358492345,869501398
2022-07-01,34911215,485483349,1908214,377440925,891208779
2022-08-01,37218526,469724557,1804117,363368925,908315889
2022-09-01,36200728,529364700,1880134,355319813,983978361
2022-10-01,38550990,555756344,2231125,380363067,1031601192
2022-11-01,35822596,607249884,2299269,376974279,1051965718
2022-12-01,32394938,561690607,1981361,323155631,917523635
2023-01-01,36380520,547964914,1870731,316038901,920527675
2023-02-01,34153016,485580590,1855868,279061641,834109921
2023-03-01,39167495,493195155,1704488,308470793,925636771
2023-04-01,40563472,481951322,1777905,317941058,912425073
2023-05-01,21667946,252303934,1035229,169602075,485133757
