"date";"group";"value"
2015-06-01;"bytes.com.csv";299438
2015-06-01;"codecademy.com.csv";12811074
2015-06-01;"geeksforgeeks.org.csv";1669569
2015-06-01;"r-bloggers.com.csv";1195911
2015-06-01;"r-graph-gallery.com.csv";NA
2015-06-01;"stackoverflow.com.csv";125692068
2015-06-01;"ui.dev.csv";NA
2015-06-01;"w3schools.com.csv";244445760
2015-07-01;"bytes.com.csv";315243
2015-07-01;"codecademy.com.csv";39172829
2015-07-01;"geeksforgeeks.org.csv";1834404
2015-07-01;"r-bloggers.com.csv";1245186
2015-07-01;"r-graph-gallery.com.csv";NA
2015-07-01;"stackoverflow.com.csv";136316251
2015-07-01;"ui.dev.csv";NA
2015-07-01;"w3schools.com.csv";238798082
2015-08-01;"bytes.com.csv";321941
2015-08-01;"codecademy.com.csv";38217615
2015-08-01;"geeksforgeeks.org.csv";1927301
2015-08-01;"r-bloggers.com.csv";1245491
2015-08-01;"r-graph-gallery.com.csv";NA
2015-08-01;"stackoverflow.com.csv";137168899
2015-08-01;"ui.dev.csv";NA
2015-08-01;"w3schools.com.csv";239675751
2015-09-01;"bytes.com.csv";293717
2015-09-01;"codecademy.com.csv";37558525
2015-09-01;"geeksforgeeks.org.csv";1814128
2015-09-01;"r-bloggers.com.csv";1226953
2015-09-01;"r-graph-gallery.com.csv";0
2015-09-01;"stackoverflow.com.csv";130783569
2015-09-01;"ui.dev.csv";NA
2015-09-01;"w3schools.com.csv";230269048
2015-10-01;"bytes.com.csv";285486
2015-10-01;"codecademy.com.csv";38312255
2015-10-01;"geeksforgeeks.org.csv";2420789
2015-10-01;"r-bloggers.com.csv";1306341
2015-10-01;"r-graph-gallery.com.csv";0
2015-10-01;"stackoverflow.com.csv";140707461
2015-10-01;"ui.dev.csv";NA
2015-10-01;"w3schools.com.csv";259584633
2015-11-01;"bytes.com.csv";282138
2015-11-01;"codecademy.com.csv";34786392
2015-11-01;"geeksforgeeks.org.csv";1928821
2015-11-01;"r-bloggers.com.csv";1417808
2015-11-01;"r-graph-gallery.com.csv";45
2015-11-01;"stackoverflow.com.csv";133246447
2015-11-01;"ui.dev.csv";NA
2015-11-01;"w3schools.com.csv";234874440
2015-12-01;"bytes.com.csv";572589
2015-12-01;"codecademy.com.csv";38914881
2015-12-01;"geeksforgeeks.org.csv";1984847
2015-12-01;"r-bloggers.com.csv";1523897
2015-12-01;"r-graph-gallery.com.csv";64
2015-12-01;"stackoverflow.com.csv";156891175
2015-12-01;"ui.dev.csv";NA
